01/27/2022 10:46:55 AM: [ reading vocab files... ]
01/27/2022 10:46:55 AM: [ Reading mid to name map ]
01/27/2022 10:46:55 AM: [ Done.. ]
01/27/2022 10:46:55 AM: [ Total number of entities 273 ]
01/27/2022 10:46:55 AM: [ Total number of relations 6 ]
01/27/2022 10:46:59 AM: [ <tensorflow.python.keras.layers.legacy_rnn.rnn_cell_impl.LSTMCell object at 0x0000021B8237B940>: Note that this cell is not optimized for performance. Please use tf.contrib.cudnn_rnn.CudnnLSTM for better performance on GPU. ]
01/27/2022 10:46:59 AM: [ `tf.nn.rnn_cell.MultiRNNCell` is deprecated. This class is equivalent as `tf.keras.layers.StackedRNNCells`, and will be replaced by that in Tensorflow 2.0. ]
01/27/2022 10:47:12 AM: [ batch_counter:   43, num_hits: 432.0000, avg. reward per batch  0.1688, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.2333 ]
01/27/2022 10:47:12 AM: [ batch_counter:   44, num_hits: 428.0000, avg. reward per batch  0.1672, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.2370 ]
01/27/2022 10:47:12 AM: [ batch_counter:   45, num_hits: 417.0000, avg. reward per batch  0.1629, num_ep_correct  116, avg_ep_correct  0.9062, train loss -0.2406 ]
01/27/2022 10:47:13 AM: [ batch_counter:   46, num_hits: 434.0000, avg. reward per batch  0.1695, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.2441 ]
01/27/2022 10:47:13 AM: [ batch_counter:   47, num_hits: 457.0000, avg. reward per batch  0.1785, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.2479 ]
01/27/2022 10:47:13 AM: [ batch_counter:   48, num_hits: 446.0000, avg. reward per batch  0.1742, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.2519 ]
01/27/2022 10:47:13 AM: [ batch_counter:   49, num_hits: 456.0000, avg. reward per batch  0.1781, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.2558 ]
01/27/2022 10:47:14 AM: [ batch_counter:   50, num_hits: 410.0000, avg. reward per batch  0.1602, num_ep_correct  121, avg_ep_correct  0.9453, train loss -0.2593 ]
01/27/2022 10:47:14 AM: [ batch_counter:   51, num_hits: 467.0000, avg. reward per batch  0.1824, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.2634 ]
01/27/2022 10:47:14 AM: [ batch_counter:   52, num_hits: 462.0000, avg. reward per batch  0.1805, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.2666 ]
01/27/2022 10:47:14 AM: [ batch_counter:   53, num_hits: 458.0000, avg. reward per batch  0.1789, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.2701 ]
01/27/2022 10:47:15 AM: [ batch_counter:   54, num_hits: 450.0000, avg. reward per batch  0.1758, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.2737 ]
01/27/2022 10:47:15 AM: [ batch_counter:   55, num_hits: 452.0000, avg. reward per batch  0.1766, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.2771 ]
01/27/2022 10:47:15 AM: [ batch_counter:   56, num_hits: 447.0000, avg. reward per batch  0.1746, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.2802 ]
01/27/2022 10:47:16 AM: [ batch_counter:   57, num_hits: 464.0000, avg. reward per batch  0.1812, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.2837 ]
01/27/2022 10:47:16 AM: [ batch_counter:   58, num_hits: 451.0000, avg. reward per batch  0.1762, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.2869 ]
01/27/2022 10:47:16 AM: [ batch_counter:   59, num_hits: 443.0000, avg. reward per batch  0.1730, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.2900 ]
01/27/2022 10:47:16 AM: [ batch_counter:   60, num_hits: 475.0000, avg. reward per batch  0.1855, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.2931 ]
01/27/2022 10:47:17 AM: [ batch_counter:   61, num_hits: 453.0000, avg. reward per batch  0.1770, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.2962 ]
01/27/2022 10:47:17 AM: [ batch_counter:   62, num_hits: 444.0000, avg. reward per batch  0.1734, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.2994 ]
01/27/2022 10:47:17 AM: [ batch_counter:   63, num_hits: 485.0000, avg. reward per batch  0.1895, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.3028 ]
01/27/2022 10:47:17 AM: [ batch_counter:   64, num_hits: 463.0000, avg. reward per batch  0.1809, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.3059 ]
01/27/2022 10:47:18 AM: [ batch_counter:   65, num_hits: 527.0000, avg. reward per batch  0.2059, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.3090 ]
01/27/2022 10:47:18 AM: [ batch_counter:   66, num_hits: 475.0000, avg. reward per batch  0.1855, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.3119 ]
01/27/2022 10:47:18 AM: [ batch_counter:   67, num_hits: 515.0000, avg. reward per batch  0.2012, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.3149 ]
01/27/2022 10:47:18 AM: [ batch_counter:   68, num_hits: 476.0000, avg. reward per batch  0.1859, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.3178 ]
01/27/2022 10:47:19 AM: [ batch_counter:   69, num_hits: 497.0000, avg. reward per batch  0.1941, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.3209 ]
01/27/2022 10:47:19 AM: [ batch_counter:   70, num_hits: 522.0000, avg. reward per batch  0.2039, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.3237 ]
01/27/2022 10:47:19 AM: [ batch_counter:   71, num_hits: 485.0000, avg. reward per batch  0.1895, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.3266 ]
01/27/2022 10:47:19 AM: [ batch_counter:   72, num_hits: 528.0000, avg. reward per batch  0.2062, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.3297 ]
01/27/2022 10:47:20 AM: [ batch_counter:   73, num_hits: 517.0000, avg. reward per batch  0.2020, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.3320 ]
01/27/2022 10:47:20 AM: [ batch_counter:   74, num_hits: 505.0000, avg. reward per batch  0.1973, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.3348 ]
01/27/2022 10:47:20 AM: [ batch_counter:   75, num_hits: 520.0000, avg. reward per batch  0.2031, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.3377 ]
01/27/2022 10:47:20 AM: [ batch_counter:   76, num_hits: 525.0000, avg. reward per batch  0.2051, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.3403 ]
01/27/2022 10:47:21 AM: [ batch_counter:   77, num_hits: 488.0000, avg. reward per batch  0.1906, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.3430 ]
01/27/2022 10:47:21 AM: [ batch_counter:   78, num_hits: 527.0000, avg. reward per batch  0.2059, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.3457 ]
01/27/2022 10:47:21 AM: [ batch_counter:   79, num_hits: 543.0000, avg. reward per batch  0.2121, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.3486 ]
01/27/2022 10:47:22 AM: [ batch_counter:   80, num_hits: 485.0000, avg. reward per batch  0.1895, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.3513 ]
01/27/2022 10:47:22 AM: [ batch_counter:   81, num_hits: 528.0000, avg. reward per batch  0.2062, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.3539 ]
01/27/2022 10:47:22 AM: [ batch_counter:   82, num_hits: 518.0000, avg. reward per batch  0.2023, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.3568 ]
01/27/2022 10:47:22 AM: [ batch_counter:   83, num_hits: 517.0000, avg. reward per batch  0.2020, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.3596 ]
01/27/2022 10:47:23 AM: [ batch_counter:   84, num_hits: 543.0000, avg. reward per batch  0.2121, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.3623 ]
01/27/2022 10:47:23 AM: [ batch_counter:   85, num_hits: 560.0000, avg. reward per batch  0.2188, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.3655 ]
01/27/2022 10:47:23 AM: [ batch_counter:   86, num_hits: 586.0000, avg. reward per batch  0.2289, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.3680 ]
01/27/2022 10:47:23 AM: [ batch_counter:   87, num_hits: 585.0000, avg. reward per batch  0.2285, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.3709 ]
01/27/2022 10:47:24 AM: [ batch_counter:   88, num_hits: 526.0000, avg. reward per batch  0.2055, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.3735 ]
01/27/2022 10:47:24 AM: [ batch_counter:   89, num_hits: 562.0000, avg. reward per batch  0.2195, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.3764 ]
01/27/2022 10:47:24 AM: [ batch_counter:   90, num_hits: 565.0000, avg. reward per batch  0.2207, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.3792 ]
01/27/2022 10:47:24 AM: [ batch_counter:   91, num_hits: 547.0000, avg. reward per batch  0.2137, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.3817 ]
01/27/2022 10:47:25 AM: [ batch_counter:   92, num_hits: 600.0000, avg. reward per batch  0.2344, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.3846 ]
01/27/2022 10:47:25 AM: [ batch_counter:   93, num_hits: 558.0000, avg. reward per batch  0.2180, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.3874 ]
01/27/2022 10:47:25 AM: [ batch_counter:   94, num_hits: 572.0000, avg. reward per batch  0.2234, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.3900 ]
01/27/2022 10:47:25 AM: [ batch_counter:   95, num_hits: 564.0000, avg. reward per batch  0.2203, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.3928 ]
01/27/2022 10:47:26 AM: [ batch_counter:   96, num_hits: 558.0000, avg. reward per batch  0.2180, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.3955 ]
01/27/2022 10:47:26 AM: [ batch_counter:   97, num_hits: 573.0000, avg. reward per batch  0.2238, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.3981 ]
01/27/2022 10:47:26 AM: [ batch_counter:   98, num_hits: 592.0000, avg. reward per batch  0.2313, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.4008 ]
01/27/2022 10:47:26 AM: [ batch_counter:   99, num_hits: 574.0000, avg. reward per batch  0.2242, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.4036 ]
01/27/2022 10:47:27 AM: [ batch_counter:  100, num_hits: 617.0000, avg. reward per batch  0.2410, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4067 ]
01/27/2022 10:47:27 AM: [ Hits@1:  0.9583 ]
01/27/2022 10:47:27 AM: [ Hits@3:  0.9583 ]
01/27/2022 10:47:27 AM: [ Hits@5:  0.9583 ]
01/27/2022 10:47:27 AM: [ Hits@10:  0.9583 ]
01/27/2022 10:47:27 AM: [ Hits@20:  0.9583 ]
01/27/2022 10:47:27 AM: [ auc:  0.9583 ]
01/27/2022 10:47:27 AM: [ batch_counter:  101, num_hits: 607.0000, avg. reward per batch  0.2371, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.4095 ]
01/27/2022 10:47:28 AM: [ batch_counter:  102, num_hits: 651.0000, avg. reward per batch  0.2543, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4123 ]
01/27/2022 10:47:28 AM: [ batch_counter:  103, num_hits: 609.0000, avg. reward per batch  0.2379, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4153 ]
01/27/2022 10:47:28 AM: [ batch_counter:  104, num_hits: 586.0000, avg. reward per batch  0.2289, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4179 ]
01/27/2022 10:47:28 AM: [ batch_counter:  105, num_hits: 618.0000, avg. reward per batch  0.2414, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.4207 ]
01/27/2022 10:47:29 AM: [ batch_counter:  106, num_hits: 652.0000, avg. reward per batch  0.2547, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.4237 ]
01/27/2022 10:47:29 AM: [ batch_counter:  107, num_hits: 599.0000, avg. reward per batch  0.2340, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.4265 ]
01/27/2022 10:47:29 AM: [ batch_counter:  108, num_hits: 672.0000, avg. reward per batch  0.2625, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4296 ]
01/27/2022 10:47:29 AM: [ batch_counter:  109, num_hits: 687.0000, avg. reward per batch  0.2684, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4324 ]
01/27/2022 10:47:29 AM: [ batch_counter:  110, num_hits: 664.0000, avg. reward per batch  0.2594, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.4352 ]
01/27/2022 10:47:30 AM: [ batch_counter:  111, num_hits: 650.0000, avg. reward per batch  0.2539, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.4382 ]
01/27/2022 10:47:30 AM: [ batch_counter:  112, num_hits: 674.0000, avg. reward per batch  0.2633, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4412 ]
01/27/2022 10:47:30 AM: [ batch_counter:  113, num_hits: 649.0000, avg. reward per batch  0.2535, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4438 ]
01/27/2022 10:47:30 AM: [ batch_counter:  114, num_hits: 681.0000, avg. reward per batch  0.2660, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4468 ]
01/27/2022 10:47:31 AM: [ batch_counter:  115, num_hits: 687.0000, avg. reward per batch  0.2684, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.4500 ]
01/27/2022 10:47:31 AM: [ batch_counter:  116, num_hits: 723.0000, avg. reward per batch  0.2824, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.4530 ]
01/27/2022 10:47:31 AM: [ batch_counter:  117, num_hits: 759.0000, avg. reward per batch  0.2965, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4564 ]
