id,truncated,total connections,actual connections,appearance count,correct appearances,incorrect appearances
11917,False,15,16,8,0,8
11918,False,10,11,10,0,10
11919,False,14,15,20,0,20
11920,False,7,8,0,0,0
11921,False,14,15,2,1,1
11922,False,6,7,4,0,4
11923,False,21,22,20,1,19
11924,False,5,6,4,2,2
11925,False,9,10,8,0,8
11926,False,12,13,4,0,4
11927,False,2,3,33,0,33
11928,False,9,10,9,0,9
11929,False,12,13,11,0,11
11930,False,12,13,4,0,4
11931,False,4,5,3,0,3
11932,False,18,19,8,0,8
11933,False,45,46,42,2,40
11934,False,15,16,12,0,12
11935,False,27,28,21,0,21
11936,False,3,4,60,0,60
11937,False,17,18,6,0,6
11938,False,11,12,1,0,1
11939,False,13,14,17,0,17
11940,False,18,19,38,5,33
11941,False,13,14,9,0,9
11942,False,6,7,12,0,12
11943,False,6,7,1,0,1
11944,False,13,14,48,1,47
11945,False,4,5,14,0,14
11946,False,4,5,5,0,5
11947,False,20,21,4,0,4
11948,False,3,4,31,0,31
11949,False,5,6,2,1,1
11950,False,14,15,6,1,5
11951,False,27,28,18,0,18
11952,False,16,17,39,2,37
11953,False,2,3,0,0,0
11954,False,4,5,81,0,81
11955,False,3,4,0,0,0
11956,False,7,8,8,0,8
11957,False,10,11,4,0,4
11958,False,10,11,24,0,24
11959,False,8,9,3,0,3
11960,False,11,12,8,0,8
11961,False,9,10,4,0,4
11962,False,3,4,1,0,1
11963,False,13,14,32,0,32
11964,False,13,14,26,1,25
11965,False,19,20,8,0,8
11966,False,6,7,5,0,5
11967,False,5,6,9,0,9
11968,False,4,5,1,0,1
11969,False,13,14,9,0,9
11970,False,11,12,1,0,1
11971,False,7,8,7,0,7
11972,False,14,15,13,0,13
11973,False,20,21,16,0,16
11974,False,26,27,18,0,18
11975,False,16,17,30,1,29
11976,False,14,15,83,0,83
11977,False,25,26,12,0,12
11978,False,30,31,47,1,46
11979,False,23,24,9,0,9
11980,False,8,9,6,0,6
11981,False,3,4,3,0,3
